transaction_id,timestamp,date_id,sender_bank_id,receiver_bank_id,payer_app,merchant_id,region_id,transaction_type,amount,device_type,status,failure_reason,hour_of_day,is_success,is_failed,merchant_category,zone
REAL0000025,2024-01-02 00:00:00,20240102,8,9,PhonePe,5,5,P2P,19.82,Mobile,Success,Unknown,0,1,0,Food & Dining,South
REAL0000026,2024-01-02 01:00:00,20240102,4,8,Google Pay,6,6,P2M,17.81,Web,Success,Unknown,1,1,0,Healthcare,West
REAL0000027,2024-01-02 02:00:00,20240102,2,6,Paytm,7,7,P2P,13.37,POS,Success,Unknown,2,1,0,Education,North
REAL0000028,2024-01-02 03:00:00,20240102,8,9,BHIM,8,8,P2M,12.69,Mobile,Success,Unknown,3,1,0,Entertainment,South
REAL0000029,2024-01-02 04:00:00,20240102,2,2,Amazon Pay,9,9,P2P,21.7,Web,Success,Unknown,4,1,0,Transport,East
REAL0000030,2024-01-02 05:00:00,20240102,6,10,MobiKwik,10,10,P2M,19.65,POS,Success,Unknown,5,1,0,Retail,Central
REAL0000031,2024-01-02 06:00:00,20240102,10,9,PhonePe,1,1,P2P,9.55,Mobile,Success,Unknown,6,1,0,E-commerce,West
REAL0000032,2024-01-02 07:00:00,20240102,10,6,Google Pay,2,2,P2M,18.35,Web,Failed,Authentication Failure,7,0,1,Travel,North
REAL0000033,2024-01-02 08:00:00,20240102,4,8,Paytm,3,3,P2P,15.06,POS,Success,Unknown,8,1,0,Groceries,South
REAL0000034,2024-01-02 09:00:00,20240102,8,6,BHIM,4,4,P2M,20.69,Mobile,Success,Unknown,9,1,0,Utilities,East
REAL0000035,2024-01-02 10:00:00,20240102,7,3,Amazon Pay,5,5,P2P,17.78,Web,Success,Unknown,10,1,0,Food & Dining,South
REAL0000036,2024-01-02 11:00:00,20240102,5,8,MobiKwik,6,6,P2M,24.06,POS,Success,Unknown,11,1,0,Healthcare,West
REAL0000037,2024-01-02 12:00:00,20240102,2,3,PhonePe,7,7,P2P,16.31,Mobile,Success,Unknown,12,1,0,Education,North
REAL0000038,2024-01-02 13:00:00,20240102,4,4,Google Pay,8,8,P2M,16.93,Web,Success,Unknown,13,1,0,Entertainment,South
REAL0000039,2024-01-02 14:00:00,20240102,7,6,Paytm,9,9,P2P,18.69,POS,Success,Unknown,14,1,0,Transport,East
REAL0000040,2024-01-02 15:00:00,20240102,10,9,BHIM,10,10,P2M,31.27,Mobile,Success,Unknown,15,1,0,Retail,Central
REAL0000041,2024-01-02 16:00:00,20240102,1,4,Amazon Pay,1,1,P2P,16.04,Web,Success,Unknown,16,1,0,E-commerce,West
REAL0000042,2024-01-02 17:00:00,20240102,8,5,MobiKwik,2,2,P2M,17.46,POS,Success,Unknown,17,1,0,Travel,North
REAL0000043,2024-01-02 18:00:00,20240102,9,1,PhonePe,3,3,P2P,13.94,Mobile,Success,Unknown,18,1,0,Groceries,South
REAL0000044,2024-01-02 19:00:00,20240102,10,2,Google Pay,4,4,P2M,9.68,Web,Success,Unknown,19,1,0,Utilities,East
REAL0000045,2024-01-02 20:00:00,20240102,5,1,Paytm,5,5,P2P,30.4,POS,Success,Unknown,20,1,0,Food & Dining,South
REAL0000046,2024-01-02 21:00:00,20240102,2,1,BHIM,6,6,P2M,18.29,Mobile,Success,Unknown,21,1,0,Healthcare,West
REAL0000047,2024-01-02 22:00:00,20240102,3,9,Amazon Pay,7,7,P2P,22.23,Web,Success,Unknown,22,1,0,Education,North
REAL0000048,2024-01-02 23:00:00,20240102,9,9,MobiKwik,8,8,P2M,32.4,POS,Success,Unknown,23,1,0,Entertainment,South
REAL0000049,2024-01-03 00:00:00,20240103,9,9,PhonePe,9,9,P2P,28.55,Mobile,Success,Unknown,0,1,0,Transport,East
REAL0000050,2024-01-03 01:00:00,20240103,7,1,Google Pay,10,10,P2M,18.04,Web,Success,Unknown,1,1,0,Retail,Central
REAL0000051,2024-01-03 02:00:00,20240103,2,1,Paytm,1,1,P2P,12.54,POS,Success,Unknown,2,1,0,E-commerce,West
REAL0000052,2024-01-03 03:00:00,20240103,2,3,BHIM,2,2,P2M,10.29,Mobile,Success,Unknown,3,1,0,Travel,North
REAL0000053,2024-01-03 04:00:00,20240103,5,6,Amazon Pay,3,3,P2P,34.81,Web,Success,Unknown,4,1,0,Groceries,South
REAL0000054,2024-01-03 05:00:00,20240103,6,4,MobiKwik,4,4,P2M,9.94,POS,Success,Unknown,5,1,0,Utilities,East
REAL0000055,2024-01-03 06:00:00,20240103,1,5,PhonePe,5,5,P2P,25.56,Mobile,Success,Unknown,6,1,0,Food & Dining,South
REAL0000056,2024-01-03 07:00:00,20240103,7,2,Google Pay,6,6,P2M,19.49,Web,Success,Unknown,7,1,0,Healthcare,West
REAL0000057,2024-01-03 08:00:00,20240103,6,8,Paytm,7,7,P2P,38.01,POS,Success,Unknown,8,1,0,Education,North
REAL0000058,2024-01-03 09:00:00,20240103,1,4,BHIM,8,8,P2M,26.41,Mobile,Success,Unknown,9,1,0,Entertainment,South
REAL0000059,2024-01-03 10:00:00,20240103,1,1,Amazon Pay,9,9,P2P,11.24,Web,Success,Unknown,10,1,0,Transport,East
REAL0000060,2024-01-03 11:00:00,20240103,5,8,MobiKwik,10,10,P2M,48.27,POS,Success,Unknown,11,1,0,Retail,Central
REAL0000061,2024-01-03 12:00:00,20240103,8,10,PhonePe,1,1,P2P,20.29,Mobile,Success,Unknown,12,1,0,E-commerce,West
REAL0000062,2024-01-03 13:00:00,20240103,9,1,Google Pay,2,2,P2M,13.81,Web,Success,Unknown,13,1,0,Travel,North
REAL0000063,2024-01-03 14:00:00,20240103,5,5,Paytm,3,3,P2P,11.02,POS,Success,Unknown,14,1,0,Groceries,South
REAL0000064,2024-01-03 15:00:00,20240103,3,9,BHIM,4,4,P2M,18.29,Mobile,Success,Unknown,15,1,0,Utilities,East
REAL0000065,2024-01-03 16:00:00,20240103,10,8,Amazon Pay,5,5,P2P,17.59,Web,Success,Unknown,16,1,0,Food & Dining,South
REAL0000066,2024-01-03 17:00:00,20240103,5,9,MobiKwik,6,6,P2M,20.08,POS,Success,Unknown,17,1,0,Healthcare,West
REAL0000067,2024-01-03 18:00:00,20240103,4,5,PhonePe,7,7,P2P,16.45,Mobile,Success,Unknown,18,1,0,Education,North
REAL0000068,2024-01-03 19:00:00,20240103,5,4,Google Pay,8,8,P2M,3.07,Web,Success,Unknown,19,1,0,Entertainment,South
REAL0000069,2024-01-03 20:00:00,20240103,1,8,Paytm,9,9,P2P,20.23,POS,Success,Unknown,20,1,0,Transport,East
REAL0000070,2024-01-03 21:00:00,20240103,4,2,BHIM,10,10,P2M,15.01,Mobile,Success,Unknown,21,1,0,Retail,Central
REAL0000071,2024-01-03 22:00:00,20240103,6,3,Amazon Pay,1,1,P2P,12.02,Web,Success,Unknown,22,1,0,E-commerce,West
REAL0000072,2024-01-03 23:00:00,20240103,10,7,MobiKwik,2,2,P2M,17.07,POS,Success,Unknown,23,1,0,Travel,North
REAL0000073,2024-01-04 00:00:00,20240104,8,7,PhonePe,3,3,P2P,26.86,Mobile,Success,Unknown,0,1,0,Groceries,South
REAL0000074,2024-01-04 01:00:00,20240104,8,2,Google Pay,4,4,P2M,25.28,Web,Success,Unknown,1,1,0,Utilities,East
REAL0000075,2024-01-04 02:00:00,20240104,6,6,Paytm,5,5,P2P,14.73,POS,Success,Unknown,2,1,0,Food & Dining,South
REAL0000076,2024-01-04 03:00:00,20240104,2,4,BHIM,6,6,P2M,10.51,Mobile,Success,Unknown,3,1,0,Healthcare,West
REAL0000077,2024-01-04 04:00:00,20240104,4,6,Amazon Pay,7,7,P2P,17.92,Web,Success,Unknown,4,1,0,Education,North
REAL0000078,2024-01-04 05:00:00,20240104,10,10,MobiKwik,8,8,P2M,27.2,POS,Success,Unknown,5,1,0,Entertainment,South
REAL0000079,2024-01-04 06:00:00,20240104,1,1,PhonePe,9,9,P2P,22.76,Mobile,Success,Unknown,6,1,0,Transport,East
REAL0000080,2024-01-04 07:00:00,20240104,9,10,Google Pay,10,10,P2M,17.29,Web,Success,Unknown,7,1,0,Retail,Central
REAL0000081,2024-01-04 08:00:00,20240104,7,5,Paytm,1,1,P2P,19.44,POS,Success,Unknown,8,1,0,E-commerce,West
REAL0000082,2024-01-04 09:00:00,20240104,3,8,BHIM,2,2,P2M,16.66,Mobile,Success,Unknown,9,1,0,Travel,North
REAL0000083,2024-01-04 10:00:00,20240104,8,5,Amazon Pay,3,3,P2P,10.07,Web,Success,Unknown,10,1,0,Groceries,South
REAL0000084,2024-01-04 11:00:00,20240104,9,4,MobiKwik,4,4,P2M,32.68,POS,Success,Unknown,11,1,0,Utilities,East
REAL0000085,2024-01-04 12:00:00,20240104,1,8,PhonePe,5,5,P2P,15.98,Mobile,Success,Unknown,12,1,0,Food & Dining,South
REAL0000086,2024-01-04 13:00:00,20240104,2,7,Google Pay,6,6,P2M,34.83,Web,Success,Unknown,13,1,0,Healthcare,West
REAL0000087,2024-01-04 14:00:00,20240104,7,2,Paytm,7,7,P2P,13.03,POS,Success,Unknown,14,1,0,Education,North
REAL0000088,2024-01-04 15:00:00,20240104,10,8,BHIM,8,8,P2M,18.28,Mobile,Success,Unknown,15,1,0,Entertainment,South
REAL0000089,2024-01-04 16:00:00,20240104,1,8,Amazon Pay,9,9,P2P,24.71,Web,Success,Unknown,16,1,0,Transport,East
REAL0000090,2024-01-04 17:00:00,20240104,7,4,MobiKwik,10,10,P2M,21.16,POS,Success,Unknown,17,1,0,Retail,Central
REAL0000091,2024-01-04 18:00:00,20240104,2,10,PhonePe,1,1,P2P,28.97,Mobile,Success,Unknown,18,1,0,E-commerce,West
REAL0000092,2024-01-04 19:00:00,20240104,7,7,Google Pay,2,2,P2M,22.49,Web,Success,Unknown,19,1,0,Travel,North
REAL0000093,2024-01-04 20:00:00,20240104,7,4,Paytm,3,3,P2P,5.75,POS,Success,Unknown,20,1,0,Groceries,South
REAL0000094,2024-01-04 21:00:00,20240104,1,1,BHIM,4,4,P2M,16.32,Mobile,Success,Unknown,21,1,0,Utilities,East
REAL0000095,2024-01-04 22:00:00,20240104,7,7,Amazon Pay,5,5,P2P,22.75,Web,Success,Unknown,22,1,0,Food & Dining,South
REAL0000096,2024-01-04 23:00:00,20240104,9,3,MobiKwik,6,6,P2M,40.17,POS,Success,Unknown,23,1,0,Healthcare,West
REAL0000097,2024-01-05 00:00:00,20240105,9,8,PhonePe,7,7,P2P,27.28,Mobile,Success,Unknown,0,1,0,Education,North
REAL0000098,2024-01-05 01:00:00,20240105,1,6,Google Pay,8,8,P2M,12.03,Web,Success,Unknown,1,1,0,Entertainment,South
REAL0000099,2024-01-05 02:00:00,20240105,3,5,Paytm,9,9,P2P,21.01,POS,Success,Unknown,2,1,0,Transport,East
REAL0000100,2024-01-05 03:00:00,20240105,3,2,BHIM,10,10,P2M,12.46,Mobile,Failed,Network Timeout,3,0,1,Retail,Central
REAL0000101,2024-01-05 04:00:00,20240105,5,8,Amazon Pay,1,1,P2P,11.35,Web,Success,Unknown,4,1,0,E-commerce,West
REAL0000102,2024-01-05 05:00:00,20240105,2,2,MobiKwik,2,2,P2M,15.38,POS,Success,Unknown,5,1,0,Travel,North
REAL0000103,2024-01-05 06:00:00,20240105,9,5,PhonePe,3,3,P2P,44.3,Mobile,Success,Unknown,6,1,0,Groceries,South
REAL0000104,2024-01-05 07:00:00,20240105,8,9,Google Pay,4,4,P2M,22.42,Web,Failed,Merchant Issue,7,0,1,Utilities,East
REAL0000105,2024-01-05 08:00:00,20240105,9,10,Paytm,5,5,P2P,20.92,POS,Success,Unknown,8,1,0,Food & Dining,South
REAL0000106,2024-01-05 09:00:00,20240105,2,10,BHIM,6,6,P2M,15.36,Mobile,Success,Unknown,9,1,0,Healthcare,West
REAL0000107,2024-01-05 10:00:00,20240105,1,10,Amazon Pay,7,7,P2P,20.49,Web,Success,Unknown,10,1,0,Education,North
REAL0000108,2024-01-05 11:00:00,20240105,10,6,MobiKwik,8,8,P2M,25.21,POS,Success,Unknown,11,1,0,Entertainment,South
REAL0000109,2024-01-05 12:00:00,20240105,3,3,PhonePe,9,9,P2P,18.24,Mobile,Success,Unknown,12,1,0,Transport,East
REAL0000110,2024-01-05 13:00:00,20240105,7,9,Google Pay,10,10,P2M,14.31,Web,Success,Unknown,13,1,0,Retail,Central
REAL0000111,2024-01-05 14:00:00,20240105,10,9,Paytm,1,1,P2P,14.0,POS,Success,Unknown,14,1,0,E-commerce,West
REAL0000112,2024-01-05 15:00:00,20240105,1,10,BHIM,2,2,P2M,7.25,Mobile,Success,Unknown,15,1,0,Travel,North
REAL0000113,2024-01-05 16:00:00,20240105,1,7,Amazon Pay,3,3,P2P,38.07,Web,Success,Unknown,16,1,0,Groceries,South
REAL0000114,2024-01-05 17:00:00,20240105,1,2,MobiKwik,4,4,P2M,23.95,POS,Success,Unknown,17,1,0,Utilities,East
REAL0000115,2024-01-05 18:00:00,20240105,2,6,PhonePe,5,5,P2P,25.71,Mobile,Success,Unknown,18,1,0,Food & Dining,South
REAL0000116,2024-01-05 19:00:00,20240105,1,5,Google Pay,6,6,P2M,17.31,Web,Success,Unknown,19,1,0,Healthcare,West
REAL0000117,2024-01-05 20:00:00,20240105,9,9,Paytm,7,7,P2P,29.93,POS,Success,Unknown,20,1,0,Education,North
REAL0000118,2024-01-05 21:00:00,20240105,7,4,BHIM,8,8,P2M,10.65,Mobile,Success,Unknown,21,1,0,Entertainment,South
REAL0000119,2024-01-05 22:00:00,20240105,10,4,Amazon Pay,9,9,P2P,12.43,Web,Success,Unknown,22,1,0,Transport,East
REAL0000120,2024-01-05 23:00:00,20240105,9,1,MobiKwik,10,10,P2M,24.08,POS,Success,Unknown,23,1,0,Retail,Central
REAL0000121,2024-01-06 00:00:00,20240106,10,9,PhonePe,1,1,P2P,11.69,Mobile,Success,Unknown,0,1,0,E-commerce,West
REAL0000122,2024-01-06 01:00:00,20240106,3,8,Google Pay,2,2,P2M,13.42,Web,Success,Unknown,1,1,0,Travel,North
REAL0000123,2024-01-06 02:00:00,20240106,3,1,Paytm,3,3,P2P,14.26,POS,Success,Unknown,2,1,0,Groceries,South
REAL0000124,2024-01-06 03:00:00,20240106,9,5,BHIM,4,4,P2M,15.95,Mobile,Success,Unknown,3,1,0,Utilities,East
REAL0000125,2024-01-06 04:00:00,20240106,3,5,Amazon Pay,5,5,P2P,12.48,Web,Success,Unknown,4,1,0,Food & Dining,South
REAL0000126,2024-01-06 05:00:00,20240106,1,5,MobiKwik,6,6,P2M,29.8,POS,Success,Unknown,5,1,0,Healthcare,West
REAL0000127,2024-01-06 06:00:00,20240106,7,10,PhonePe,7,7,P2P,8.52,Mobile,Success,Unknown,6,1,0,Education,North
REAL0000128,2024-01-06 07:00:00,20240106,9,2,Google Pay,8,8,P2M,14.52,Web,Success,Unknown,7,1,0,Entertainment,South
REAL0000129,2024-01-06 08:00:00,20240106,10,4,Paytm,9,9,P2P,11.38,POS,Success,Unknown,8,1,0,Transport,East
REAL0000130,2024-01-06 09:00:00,20240106,10,2,BHIM,10,10,P2M,22.82,Mobile,Success,Unknown,9,1,0,Retail,Central
REAL0000131,2024-01-06 10:00:00,20240106,2,3,Amazon Pay,1,1,P2P,19.08,Web,Success,Unknown,10,1,0,E-commerce,West
REAL0000132,2024-01-06 11:00:00,20240106,8,10,MobiKwik,2,2,P2M,20.27,POS,Success,Unknown,11,1,0,Travel,North
REAL0000133,2024-01-06 12:00:00,20240106,9,10,PhonePe,3,3,P2P,11.17,Mobile,Success,Unknown,12,1,0,Groceries,South
REAL0000134,2024-01-06 13:00:00,20240106,7,1,Google Pay,4,4,P2M,12.26,Web,Success,Unknown,13,1,0,Utilities,East
REAL0000135,2024-01-06 14:00:00,20240106,9,7,Paytm,5,5,P2P,18.26,POS,Success,Unknown,14,1,0,Food & Dining,South
REAL0000136,2024-01-06 15:00:00,20240106,9,3,BHIM,6,6,P2M,8.51,Mobile,Success,Unknown,15,1,0,Healthcare,West
REAL0000137,2024-01-06 16:00:00,20240106,5,2,Amazon Pay,7,7,P2P,10.33,Web,Success,Unknown,16,1,0,Education,North
REAL0000138,2024-01-06 17:00:00,20240106,1,3,MobiKwik,8,8,P2M,14.15,POS,Success,Unknown,17,1,0,Entertainment,South
REAL0000139,2024-01-06 18:00:00,20240106,5,2,PhonePe,9,9,P2P,16.0,Mobile,Success,Unknown,18,1,0,Transport,East
REAL0000140,2024-01-06 19:00:00,20240106,3,5,Google Pay,10,10,P2M,13.16,Web,Success,Unknown,19,1,0,Retail,Central
REAL0000141,2024-01-06 20:00:00,20240106,2,10,Paytm,1,1,P2P,17.47,POS,Success,Unknown,20,1,0,E-commerce,West
REAL0000142,2024-01-06 21:00:00,20240106,2,6,BHIM,2,2,P2M,34.3,Mobile,Success,Unknown,21,1,0,Travel,North
REAL0000143,2024-01-06 22:00:00,20240106,7,8,Amazon Pay,3,3,P2P,41.19,Web,Success,Unknown,22,1,0,Groceries,South
REAL0000144,2024-01-06 23:00:00,20240106,6,5,MobiKwik,4,4,P2M,27.05,POS,Success,Unknown,23,1,0,Utilities,East
REAL0000145,2024-01-07 00:00:00,20240107,6,1,PhonePe,5,5,P2P,16.43,Mobile,Success,Unknown,0,1,0,Food & Dining,South
REAL0000146,2024-01-07 01:00:00,20240107,8,1,Google Pay,6,6,P2M,8.35,Web,Success,Unknown,1,1,0,Healthcare,West
REAL0000147,2024-01-07 02:00:00,20240107,6,3,Paytm,7,7,P2P,18.64,POS,Success,Unknown,2,1,0,Education,North
REAL0000148,2024-01-07 03:00:00,20240107,7,3,BHIM,8,8,P2M,11.87,Mobile,Success,Unknown,3,1,0,Entertainment,South
REAL0000149,2024-01-07 04:00:00,20240107,1,9,Amazon Pay,9,9,P2P,9.78,Web,Success,Unknown,4,1,0,Transport,East
REAL0000150,2024-01-07 05:00:00,20240107,9,9,MobiKwik,10,10,P2M,7.51,POS,Success,Unknown,5,1,0,Retail,Central
REAL0000151,2024-01-07 06:00:00,20240107,5,9,PhonePe,1,1,P2P,14.07,Mobile,Success,Unknown,6,1,0,E-commerce,West
REAL0000152,2024-01-07 07:00:00,20240107,2,7,Google Pay,2,2,P2M,13.13,Web,Success,Unknown,7,1,0,Travel,North
REAL0000153,2024-01-07 08:00:00,20240107,9,6,Paytm,3,3,P2P,17.26,POS,Success,Unknown,8,1,0,Groceries,South
REAL0000154,2024-01-07 09:00:00,20240107,8,7,BHIM,4,4,P2M,24.55,Mobile,Success,Unknown,9,1,0,Utilities,East
REAL0000155,2024-01-07 10:00:00,20240107,1,5,Amazon Pay,5,5,P2P,19.77,Web,Success,Unknown,10,1,0,Food & Dining,South
REAL0000156,2024-01-07 11:00:00,20240107,2,7,MobiKwik,6,6,P2M,29.85,POS,Success,Unknown,11,1,0,Healthcare,West
REAL0000157,2024-01-07 12:00:00,20240107,1,8,PhonePe,7,7,P2P,48.17,Mobile,Success,Unknown,12,1,0,Education,North
REAL0000158,2024-01-07 13:00:00,20240107,3,8,Google Pay,8,8,P2M,25.0,Web,Success,Unknown,13,1,0,Entertainment,South
REAL0000159,2024-01-07 14:00:00,20240107,1,7,Paytm,9,9,P2P,13.39,POS,Success,Unknown,14,1,0,Transport,East
REAL0000160,2024-01-07 15:00:00,20240107,8,1,BHIM,10,10,P2M,16.49,Mobile,Success,Unknown,15,1,0,Retail,Central
REAL0000161,2024-01-07 16:00:00,20240107,6,8,Amazon Pay,1,1,P2P,21.5,Web,Success,Unknown,16,1,0,E-commerce,West
REAL0000162,2024-01-07 17:00:00,20240107,10,4,MobiKwik,2,2,P2M,12.66,POS,Success,Unknown,17,1,0,Travel,North
REAL0000163,2024-01-07 18:00:00,20240107,8,8,PhonePe,3,3,P2P,16.21,Mobile,Success,Unknown,18,1,0,Groceries,South
REAL0000164,2024-01-07 19:00:00,20240107,7,6,Google Pay,4,4,P2M,13.81,Web,Success,Unknown,19,1,0,Utilities,East
REAL0000165,2024-01-07 20:00:00,20240107,6,9,Paytm,5,5,P2P,17.51,POS,Success,Unknown,20,1,0,Food & Dining,South
REAL0000166,2024-01-07 21:00:00,20240107,1,4,BHIM,6,6,P2M,24.52,Mobile,Success,Unknown,21,1,0,Healthcare,West
REAL0000167,2024-01-07 22:00:00,20240107,1,10,Amazon Pay,7,7,P2P,20.76,Web,Success,Unknown,22,1,0,Education,North
REAL0000168,2024-01-07 23:00:00,20240107,7,9,MobiKwik,8,8,P2M,31.71,POS,Success,Unknown,23,1,0,Entertainment,South
REAL0000169,2024-01-08 00:00:00,20240108,1,4,PhonePe,9,9,P2P,10.59,Mobile,Success,Unknown,0,1,0,Transport,East
REAL0000170,2024-01-08 01:00:00,20240108,1,5,Google Pay,10,10,P2M,10.63,Web,Success,Unknown,1,1,0,Retail,Central
REAL0000171,2024-01-08 02:00:00,20240108,3,6,Paytm,1,1,P2P,50.81,POS,Success,Unknown,2,1,0,E-commerce,West
REAL0000172,2024-01-08 03:00:00,20240108,9,8,BHIM,2,2,P2M,15.81,Mobile,Success,Unknown,3,1,0,Travel,North
REAL0000173,2024-01-08 04:00:00,20240108,5,7,Amazon Pay,3,3,P2P,7.25,Web,Success,Unknown,4,1,0,Groceries,South
REAL0000174,2024-01-08 05:00:00,20240108,8,9,MobiKwik,4,4,P2M,31.85,POS,Success,Unknown,5,1,0,Utilities,East
REAL0000175,2024-01-08 06:00:00,20240108,5,4,PhonePe,5,5,P2P,16.82,Mobile,Success,Unknown,6,1,0,Food & Dining,South
REAL0000176,2024-01-08 07:00:00,20240108,2,6,Google Pay,6,6,P2M,32.9,Web,Success,Unknown,7,1,0,Healthcare,West
REAL0000177,2024-01-08 08:00:00,20240108,4,5,Paytm,7,7,P2P,17.89,POS,Success,Unknown,8,1,0,Education,North
REAL0000178,2024-01-08 09:00:00,20240108,1,10,BHIM,8,8,P2M,14.48,Mobile,Failed,Bank Issue,9,0,1,Entertainment,South
REAL0000179,2024-01-08 10:00:00,20240108,8,4,Amazon Pay,9,9,P2P,9.6,Web,Success,Unknown,10,1,0,Transport,East
REAL0000180,2024-01-08 11:00:00,20240108,2,6,MobiKwik,10,10,P2M,34.63,POS,Success,Unknown,11,1,0,Retail,Central
REAL0000181,2024-01-08 12:00:00,20240108,4,2,PhonePe,1,1,P2P,34.65,Mobile,Success,Unknown,12,1,0,E-commerce,West
REAL0000182,2024-01-08 13:00:00,20240108,10,9,Google Pay,2,2,P2M,23.33,Web,Success,Unknown,13,1,0,Travel,North
REAL0000183,2024-01-08 14:00:00,20240108,6,4,Paytm,3,3,P2P,45.35,POS,Success,Unknown,14,1,0,Groceries,South
REAL0000184,2024-01-08 15:00:00,20240108,5,4,BHIM,4,4,P2M,23.17,Mobile,Success,Unknown,15,1,0,Utilities,East
REAL0000185,2024-01-08 16:00:00,20240108,6,6,Amazon Pay,5,5,P2P,40.55,Web,Success,Unknown,16,1,0,Food & Dining,South
REAL0000186,2024-01-08 17:00:00,20240108,8,5,MobiKwik,6,6,P2M,20.69,POS,Success,Unknown,17,1,0,Healthcare,West
REAL0000187,2024-01-08 18:00:00,20240108,3,9,PhonePe,7,7,P2P,20.9,Mobile,Success,Unknown,18,1,0,Education,North
REAL0000188,2024-01-08 19:00:00,20240108,7,6,Google Pay,8,8,P2M,30.46,Web,Success,Unknown,19,1,0,Entertainment,South
REAL0000189,2024-01-08 20:00:00,20240108,9,6,Paytm,9,9,P2P,18.15,POS,Success,Unknown,20,1,0,Transport,East
REAL0000190,2024-01-08 21:00:00,20240108,6,2,BHIM,10,10,P2M,23.1,Mobile,Success,Unknown,21,1,0,Retail,Central
REAL0000191,2024-01-08 22:00:00,20240108,5,1,Amazon Pay,1,1,P2P,15.69,Web,Success,Unknown,22,1,0,E-commerce,West
REAL0000192,2024-01-08 23:00:00,20240108,2,4,MobiKwik,2,2,P2M,19.81,POS,Success,Unknown,23,1,0,Travel,North
REAL0000193,2024-01-09 00:00:00,20240109,3,10,PhonePe,3,3,P2P,28.44,Mobile,Success,Unknown,0,1,0,Groceries,South
REAL0000194,2024-01-09 01:00:00,20240109,10,10,Google Pay,4,4,P2M,15.48,Web,Success,Unknown,1,1,0,Utilities,East
