transaction_id,timestamp,date_id,sender_bank_id,receiver_bank_id,payer_app,merchant_id,region_id,transaction_type,amount,device_type,status,hour_of_day,failure_reason,is_success,is_failed
UPI0000047,2024-06-12 01:20:00,20240108,1,4,PhonePe,44,12,P2M,266.97329268832976,Mobile,SUCCESS,14,None,1,0
UPI0000048,2024-11-22 23:01:00,20241223,1,2,Google Pay,35,6,P2P,179.57954406054483,Mobile,SUCCESS,18,None,1,0
UPI0000049,2024-09-05 14:15:00,20240306,7,7,BHIM,9,11,P2M,349.53269536477166,Mobile,SUCCESS,1,None,1,0
UPI0000050,2024-10-11 05:51:00,20240211,4,8,Amazon Pay,18,11,P2M,504.43311717888827,Mobile,SUCCESS,9,None,1,0
UPI0000051,2024-10-05 00:45:00,20240420,3,9,PhonePe,31,10,P2M,1462.2464572855733,Mobile,SUCCESS,13,None,1,0
UPI0000052,2024-03-12 03:19:00,20241231,2,1,BHIM,10,1,P2M,80.89757506559393,Tablet,SUCCESS,17,None,1,0
UPI0000053,2024-05-13 04:18:00,20241112,8,4,Paytm,38,1,P2M,201.20093131859596,Mobile,SUCCESS,21,None,1,0
UPI0000054,2024-06-19 22:20:00,20240920,10,3,Amazon Pay,48,11,P2M,2793.0340564257162,Web,SUCCESS,10,None,1,0
UPI0000055,2024-07-01 04:07:00,20240309,3,6,BHIM,29,6,P2M,376.3576226933356,Mobile,SUCCESS,2,None,1,0
UPI0000056,2024-01-17 03:09:00,20240818,3,10,PhonePe,31,7,P2M,707.5867643459266,Mobile,SUCCESS,9,None,1,0
UPI0000057,2024-07-19 20:59:00,20241031,8,2,MobiKwik,34,10,P2M,225.5120529666634,Mobile,SUCCESS,18,None,1,0
UPI0000058,2024-02-26 21:41:00,20240504,6,7,PhonePe,24,8,P2P,232.21315098564705,,SUCCESS,13,None,1,0
UPI0000059,2024-09-29 05:40:00,20240404,8,5,PhonePe,36,6,P2P,918.62033123229,Web,SUCCESS,10,None,1,0
UPI0000060,2024-09-06 15:16:00,20241113,8,5,Google Pay,50,2,P2P,229.71032552740718,Mobile,SUCCESS,21,None,1,0
UPI0000061,2024-12-03 12:51:00,20240218,8,10,Google Pay,16,15,P2M,749.558894642856,Mobile,SUCCESS,10,None,1,0
UPI0000062,2024-09-29 13:10:00,20241129,2,8,PhonePe,14,6,P2M,1173.3194057559754,Mobile,SUCCESS,9,None,1,0
UPI0000063,2024-05-14 07:58:00,20240624,6,1,PhonePe,24,12,P2M,53.72276202454007,Mobile,SUCCESS,23,None,1,0
UPI0000064,2024-12-20 18:30:00,20240921,5,5,BHIM,36,3,P2M,361.3901833159443,Tablet,SUCCESS,12,None,1,0
UPI0000065,2024-05-30 21:19:00,20240516,9,8,Paytm,38,5,P2M,305.96729636852496,Mobile,SUCCESS,13,None,1,0
UPI0000066,2024-04-29 17:45:00,20240916,7,2,Google Pay,12,1,P2M,643.4247766544951,Mobile,SUCCESS,13,None,1,0
UPI0000067,2024-11-27 21:25:00,20241204,8,6,Paytm,48,1,P2M,1413.008314246341,Mobile,SUCCESS,13,None,1,0
UPI0000068,2024-05-15 02:16:00,20240629,9,5,Amazon Pay,23,7,P2M,189.42712065759886,Mobile,SUCCESS,12,None,1,0
UPI0000069,2024-01-28 15:41:00,20240318,7,1,PhonePe,25,5,P2M,1027.5825694892485,Mobile,SUCCESS,22,None,1,0
UPI0000070,2024-06-20 23:43:00,20240129,7,10,PhonePe,19,2,P2P,982.1217922584723,Mobile,SUCCESS,19,None,1,0
UPI0000071,2024-10-18 12:36:00,20241204,6,4,Amazon Pay,2,4,P2M,398.36025953419687,Mobile,FAILED,22,Insufficient Balance,0,1
UPI0000072,2024-03-10 22:27:00,20241231,1,3,Google Pay,38,3,P2P,459.42113059948286,Mobile,FAILED,18,Bank Server Downtime,0,1
UPI0000073,2024-06-18 08:19:00,20240826,8,1,PhonePe,23,12,P2M,261.3213190571587,Mobile,SUCCESS,10,None,1,0
UPI0000074,2024-02-17 21:24:00,20240106,4,1,PhonePe,24,5,P2M,124.15014489747679,Mobile,SUCCESS,10,None,1,0
UPI0000075,2024-09-08 22:52:00,20241119,2,2,Freecharge,27,5,P2M,790.7179576023416,Mobile,SUCCESS,20,None,1,0
UPI0000076,2024-06-23 14:21:00,20240630,4,8,Google Pay,18,7,P2M,478.1368864572505,POS,SUCCESS,11,None,1,0
UPI0000077,2024-04-30 16:58:00,20240326,4,3,BHIM,7,3,P2M,468.5636209383143,Mobile,SUCCESS,7,None,1,0
UPI0000078,2024-03-24 12:08:00,20240514,4,5,Paytm,15,4,P2M,1488.4745749255085,Mobile,SUCCESS,1,None,1,0
UPI0000079,2024-07-25 07:09:00,20241210,3,7,Google Pay,28,4,P2P,158.56805539667644,Mobile,SUCCESS,20,None,1,0
UPI0000080,2024-09-02 12:19:00,20241011,10,4,BHIM,42,15,P2M,240.46667431960978,Mobile,SUCCESS,19,None,1,0
UPI0000081,2024-12-10 23:00:00,20240806,9,5,PhonePe,22,10,P2P,18.858327025705933,Mobile,SUCCESS,11,None,1,0
UPI0000082,2024-06-08 00:52:00,20240926,1,5,Paytm,11,14,P2M,585.2427623614034,Mobile,SUCCESS,13,None,1,0
UPI0000083,2024-02-28 04:20:00,20241106,5,10,Google Pay,14,13,P2M,100.4422517937777,POS,SUCCESS,18,None,1,0
UPI0000084,2024-10-31 11:06:00,20240817,4,10,Amazon Pay,23,4,P2M,405.3334695370177,Mobile,SUCCESS,19,None,1,0
UPI0000085,2024-08-18 08:37:00,20240424,9,3,Google Pay,46,1,P2P,48.62180204736458,Mobile,SUCCESS,13,None,1,0
UPI0000086,2024-09-13 14:57:00,20240128,5,3,PhonePe,22,7,P2P,393.5002037172637,Mobile,SUCCESS,15,None,1,0
UPI0000087,2024-02-05 08:59:00,20240215,7,5,Paytm,13,6,P2P,434.0789359688925,Mobile,SUCCESS,13,None,1,0
UPI0000088,2024-04-24 15:06:00,20240327,1,3,BHIM,24,10,P2P,277.3853998771473,Mobile,SUCCESS,15,None,1,0
UPI0000089,2024-10-08 02:47:00,20241008,8,6,BHIM,46,3,P2M,249.73410463709985,Mobile,SUCCESS,7,None,1,0
UPI0000090,2024-10-31 07:21:00,20240204,5,6,Google Pay,34,3,P2M,157.24412847413006,Mobile,SUCCESS,21,None,1,0
UPI0000091,2024-06-08 16:50:00,20240216,9,5,Google Pay,36,4,P2P,1854.8346939592548,Mobile,SUCCESS,21,None,1,0
UPI0000092,2024-10-21 11:36:00,20241224,2,5,PhonePe,45,10,P2P,102.31035925110811,Mobile,SUCCESS,22,None,1,0
UPI0000093,2024-11-04 17:43:00,20240526,4,9,PhonePe,2,3,P2M,2631.844979423235,Mobile,SUCCESS,15,None,1,0
UPI0000094,2024-05-21 15:50:00,20240216,9,2,Amazon Pay,8,7,P2M,241.3003076137771,Web,SUCCESS,22,None,1,0
UPI0000095,2024-11-24 07:53:00,20241115,3,8,Paytm,12,4,P2M,1987.443253063432,POS,SUCCESS,8,None,1,0
UPI0000096,2024-04-15 10:08:00,20241219,3,6,Google Pay,36,1,P2M,372.4678027818459,Mobile,SUCCESS,12,None,1,0
UPI0000097,2024-03-28 23:43:00,20240703,4,8,Google Pay,11,3,P2M,888.4873574024226,POS,SUCCESS,16,None,1,0
UPI0000098,2024-09-06 23:08:00,20240211,6,6,PhonePe,8,4,P2M,85.35047154799511,POS,SUCCESS,13,None,1,0
UPI0000099,2024-08-21 00:56:00,20240817,1,8,Google Pay,22,13,P2M,42.99558329576502,Mobile,SUCCESS,17,None,1,0
UPI0000100,2024-02-21 16:37:00,20241111,7,7,Amazon Pay,1,3,P2M,1650.630233206049,Mobile,SUCCESS,14,None,1,0
UPI0000101,2024-10-31 11:11:00,20241219,9,8,Google Pay,44,9,P2M,2059.3580310204575,POS,SUCCESS,14,None,1,0
UPI0000102,2024-03-14 00:17:00,20240729,4,5,Google Pay,1,13,P2M,133.37571522506607,Tablet,SUCCESS,7,None,1,0
UPI0000103,2024-10-21 15:53:00,20241211,2,9,PhonePe,8,15,P2M,2831.9600639529253,Mobile,SUCCESS,18,None,1,0
UPI0000104,2024-01-03 00:38:00,20241031,4,3,PhonePe,45,8,P2P,33.20374806514745,Mobile,SUCCESS,6,None,1,0
UPI0000105,2024-10-18 07:13:00,20240229,7,8,PhonePe,50,1,P2M,325.8821926581527,Mobile,SUCCESS,23,None,1,0
UPI0000106,2024-10-15 16:49:00,20240820,6,4,PhonePe,43,3,P2M,166.33290120696884,POS,SUCCESS,7,None,1,0
UPI0000107,2024-10-12 19:43:00,20240831,7,8,Google Pay,25,9,P2M,284.2221434141894,Mobile,SUCCESS,17,None,1,0
UPI0000108,2024-08-31 09:04:00,20241008,9,9,Freecharge,17,9,P2M,1546.9954620399412,Mobile,SUCCESS,21,None,1,0
UPI0000109,2024-06-21 19:16:00,20240713,10,2,PhonePe,46,15,P2M,43.28400642078924,Mobile,SUCCESS,12,None,1,0
UPI0000110,2024-09-15 20:50:00,20240924,5,7,BHIM,33,7,P2M,438.89031601921073,Mobile,SUCCESS,8,None,1,0
UPI0000111,2024-04-11 10:21:00,20240801,8,6,PhonePe,2,7,P2P,49.52467664277909,Mobile,SUCCESS,21,None,1,0
UPI0000112,2024-10-12 04:02:00,20240405,5,4,Google Pay,8,7,P2P,120.78484153494672,Mobile,SUCCESS,15,None,1,0
UPI0000113,2024-07-22 15:36:00,20240626,2,3,Paytm,45,5,P2P,568.8958525706373,Mobile,SUCCESS,17,None,1,0
UPI0000114,2024-06-16 00:53:00,20241208,6,7,PhonePe,38,4,P2P,341.10485817405856,Mobile,SUCCESS,17,None,1,0
UPI0000115,2024-07-04 21:33:00,20241104,10,9,PhonePe,4,15,P2M,407.97706778265734,Mobile,SUCCESS,21,None,1,0
UPI0000116,2024-07-27 09:58:00,20240823,5,4,PhonePe,50,10,P2M,66.77671468223639,POS,SUCCESS,12,None,1,0
UPI0000117,2024-01-14 18:06:00,20240427,6,4,PhonePe,29,13,P2P,1387.656867117783,Mobile,SUCCESS,23,None,1,0
UPI0000118,2024-02-21 17:40:00,20240314,8,9,Amazon Pay,48,13,P2M,128.747314550682,Mobile,SUCCESS,7,None,1,0
UPI0000119,2024-03-30 11:38:00,20240414,9,8,PhonePe,49,14,P2M,1044.3159271274237,Mobile,SUCCESS,7,None,1,0
UPI0000120,2024-02-11 23:59:00,20240422,1,8,PhonePe,32,8,P2P,282.9831146365523,Mobile,SUCCESS,21,None,1,0
UPI0000121,2024-06-09 19:31:00,20241217,1,6,BHIM,3,5,P2M,996.0760643231393,POS,SUCCESS,17,None,1,0
UPI0000122,2024-09-01 21:49:00,20240714,5,2,PhonePe,23,3,P2P,2885.750684161383,Tablet,SUCCESS,10,None,1,0
UPI0000123,2024-08-27 02:08:00,20240523,2,2,PhonePe,45,13,P2P,274.10085791902975,Web,SUCCESS,16,None,1,0
UPI0000124,2024-06-21 11:02:00,20241118,10,1,PhonePe,19,4,P2P,3348.159024449519,Mobile,SUCCESS,19,None,1,0
UPI0000125,2024-11-08 22:42:00,20240515,8,4,Amazon Pay,16,13,P2P,736.5986242850958,Mobile,SUCCESS,16,None,1,0
UPI0000126,2024-07-25 19:00:00,20241018,7,1,Amazon Pay,14,5,P2M,459.695262712159,Mobile,SUCCESS,20,None,1,0
UPI0000127,2024-01-29 10:52:00,20240822,6,5,Amazon Pay,34,3,P2M,80.57233400083284,Mobile,SUCCESS,11,None,1,0
UPI0000128,2024-10-06 01:01:00,20240420,5,1,PhonePe,5,14,P2M,178.5765998318466,Mobile,SUCCESS,6,None,1,0
UPI0000129,2024-07-29 06:41:00,20241217,1,10,PhonePe,22,6,P2P,519.3504418520158,Mobile,SUCCESS,18,None,1,0
UPI0000130,2024-08-20 13:27:00,20240908,8,5,BHIM,11,10,P2P,233.49012300746352,Mobile,SUCCESS,17,None,1,0
UPI0000131,2024-07-25 15:38:00,20241228,5,1,BHIM,45,7,P2P,532.2133702663427,Mobile,SUCCESS,7,None,1,0
UPI0000132,2024-07-21 22:37:00,20240101,4,2,PhonePe,28,14,P2P,497.48222824615664,Tablet,SUCCESS,17,None,1,0
UPI0000133,2024-02-03 02:26:00,20240412,5,2,Google Pay,14,3,P2M,88.0414092108859,POS,SUCCESS,17,None,1,0
UPI0000134,2024-07-23 09:28:00,20240501,5,7,Google Pay,14,5,P2P,181.38517340547415,POS,SUCCESS,0,None,1,0
UPI0000135,2024-10-17 06:30:00,20240903,10,8,PhonePe,37,12,P2P,1670.1947547428535,Mobile,SUCCESS,9,None,1,0
UPI0000136,2024-04-21 23:40:00,20241103,2,5,Google Pay,37,14,P2M,180.69489058649606,Mobile,SUCCESS,17,None,1,0
UPI0000137,2024-08-08 03:42:00,20240214,2,8,Amazon Pay,45,9,P2M,72.0333195095627,Mobile,SUCCESS,22,None,1,0
UPI0000138,2024-01-12 05:26:00,20240225,2,1,BHIM,39,12,P2M,119.90106202828797,Mobile,SUCCESS,17,None,1,0
UPI0000139,2024-05-07 07:21:00,20240904,7,4,PhonePe,8,10,P2M,846.8723057709724,Mobile,SUCCESS,5,None,1,0
UPI0000140,2024-06-08 02:02:00,20240509,1,1,PhonePe,24,15,P2P,177.96392705909165,Web,SUCCESS,1,None,1,0
UPI0000141,2024-12-25 15:46:00,20240912,8,5,PhonePe,1,15,P2M,64.87951422511631,Mobile,FAILED,20,Authentication Failure,0,1
UPI0000142,2024-03-19 12:13:00,20240101,8,1,PhonePe,46,4,P2P,215.6883213118947,Web,SUCCESS,6,None,1,0
UPI0000143,2024-04-11 13:26:00,20240710,8,8,PHONEPE,39,6,P2M,654.4594125697491,Mobile,SUCCESS,10,None,1,0
UPI0000144,2024-05-29 21:59:00,20240109,5,6,PhonePe,41,15,P2P,133.11086671409583,Mobile,SUCCESS,18,None,1,0
UPI0000145,2024-12-29 10:47:00,20241214,5,8,Amazon Pay,37,5,P2M,591.6964058756589,Web,SUCCESS,22,None,1,0
UPI0000146,2024-11-08 07:20:00,20240223,10,6,BHIM,4,10,P2M,489.9420936665613,Mobile,SUCCESS,9,None,1,0
UPI0000147,2024-01-13 09:28:00,20240306,9,1,Amazon Pay,34,15,P2M,416.6922782568993,Mobile,SUCCESS,16,None,1,0
UPI0000148,2024-03-26 19:19:00,20240207,2,4,Paytm,41,12,P2M,111.22193032540213,Mobile,SUCCESS,19,None,1,0
UPI0000149,2024-10-27 12:37:00,20240321,3,1,Paytm,32,10,P2M,82.19965347111301,Mobile,SUCCESS,5,None,1,0
UPI0000150,2024-01-22 04:09:00,20240628,3,1,Paytm,42,3,P2M,1288.7103876078806,Web,SUCCESS,15,None,1,0
UPI0000151,2024-11-09 16:57:00,20240814,5,10,Paytm,30,4,P2P,739.7568402767076,Web,SUCCESS,15,None,1,0
UPI0000152,2024-04-12 17:59:00,20241125,7,10,PHONEPE,18,4,P2M,493.5534615491831,Mobile,SUCCESS,9,None,1,0
UPI0000153,2024-12-01 05:17:00,20241117,3,2,PhonePe,21,2,P2M,509.45801676618146,Mobile,SUCCESS,7,None,1,0
UPI0000154,2024-04-17 13:13:00,20240131,1,5,Google Pay,25,15,P2P,788.2664176564691,Web,SUCCESS,23,None,1,0
UPI0000155,2024-06-07 13:32:00,20240605,4,3,Paytm,15,13,P2P,166.51080824640337,Mobile,SUCCESS,12,None,1,0
UPI0000156,2024-08-30 04:38:00,20241114,6,5,PhonePe,4,12,P2M,1061.4214743814339,Mobile,SUCCESS,19,None,1,0
UPI0000157,2024-02-16 00:38:00,20240301,7,7,Google Pay,25,12,P2M,230.67254733566665,Mobile,SUCCESS,15,None,1,0
UPI0000158,2024-07-22 17:02:00,20240901,2,4,Amazon Pay,14,14,P2M,256.3948969315265,POS,SUCCESS,18,None,1,0
UPI0000159,2024-07-03 14:42:00,20240605,7,9,PhonePe,26,11,P2M,2246.2855580723985,Mobile,SUCCESS,9,None,1,0
UPI0000160,2024-10-13 17:03:00,20240302,2,1,PhonePe,48,4,P2M,722.2253756681843,Web,FAILED,16,Bank Server Downtime,0,1
UPI0000161,2024-12-30 09:20:00,20240123,3,6,Freecharge,34,4,P2M,146.9811950105131,Mobile,SUCCESS,21,None,1,0
UPI0000162,2024-08-31 12:43:00,20240416,6,8,PhonePe,47,8,P2M,615.4794212050856,Mobile,SUCCESS,16,None,1,0
UPI0000163,2024-05-29 23:53:00,20240101,2,6,PhonePe,42,3,P2M,216.94922366770467,POS,SUCCESS,23,None,1,0
UPI0000164,2024-05-28 05:38:00,20240312,6,7,Paytm,35,8,P2P,332.3234549863939,Tablet,SUCCESS,18,None,1,0
UPI0000165,2024-06-01 15:09:00,20240719,1,7,Freecharge,7,11,P2P,467.10475659774715,Mobile,SUCCESS,18,None,1,0
UPI0000166,2024-10-24 03:40:00,20241015,3,2,PhonePe,1,4,P2P,44.506326611308936,Mobile,SUCCESS,17,None,1,0
UPI0000167,2024-04-27 01:02:00,20240703,6,8,PhonePe,8,4,P2P,192.7905006275922,Mobile,SUCCESS,11,None,1,0
UPI0000168,2024-03-02 22:13:00,20240922,3,3,Google Pay,2,3,P2M,221.64654522294188,Mobile,SUCCESS,20,None,1,0
UPI0000169,2024-05-02 03:07:00,20240128,5,2,Google Pay,25,9,P2P,398.0728478876397,Mobile,SUCCESS,17,None,1,0
UPI0000170,2024-01-09 15:59:00,20240421,3,6,BHIM,30,3,P2M,62.55582416426774,Mobile,SUCCESS,6,None,1,0
UPI0000171,2024-02-08 12:22:00,20240829,6,7,Freecharge,28,14,P2P,51.2946324572762,Mobile,SUCCESS,17,None,1,0
UPI0000172,2024-02-02 19:33:00,20240120,2,4,BHIM,12,5,P2M,397.3944167400134,Mobile,SUCCESS,20,None,1,0
UPI0000173,2024-10-09 13:47:00,20240801,2,1,PhonePe,22,12,P2M,1351.4443325498792,Mobile,SUCCESS,15,None,1,0
UPI0000174,2024-09-21 16:58:00,20240302,10,10,Paytm,33,7,P2P,464.6438248902419,Mobile,SUCCESS,18,None,1,0
UPI0000175,2024-09-12 21:59:00,20240602,4,9,Paytm,15,13,P2P,7136.362832184988,Mobile,SUCCESS,18,None,1,0
UPI0000176,2024-06-18 19:09:00,20240818,7,5,Google Pay,5,1,P2P,271.5335495335653,Mobile,SUCCESS,1,None,1,0
UPI0000177,2024-09-19 17:23:00,20241227,1,4,Paytm,9,4,P2P,295.01563827966476,Mobile,SUCCESS,9,None,1,0
UPI0000178,2024-02-29 03:24:00,20240203,2,9,Google Pay,50,8,P2M,134.25964899728496,Mobile,SUCCESS,7,None,1,0
UPI0000179,2024-11-25 04:47:00,20240720,8,4,Paytm,11,9,P2P,1766.2042620327743,Web,SUCCESS,9,None,1,0
UPI0000180,2024-07-02 11:20:00,20240715,4,3,Paytm,6,8,P2M,139.13574180811466,Mobile,SUCCESS,8,None,1,0
UPI0000181,2024-12-09 15:13:00,20240124,4,3,PHONEPE,42,11,P2M,372.2167831033544,Mobile,SUCCESS,16,None,1,0
UPI0000182,2024-02-25 16:45:00,20240812,2,6,Google Pay,17,8,P2M,20.34912628128044,Mobile,SUCCESS,18,None,1,0
UPI0000183,2024-07-01 18:29:00,20240128,3,8,PhonePe,48,12,P2M,1643.8163016397796,Mobile,SUCCESS,3,None,1,0
UPI0000184,2024-09-11 02:44:00,20240908,3,4,PhonePe,5,9,P2P,850.3431406998409,Mobile,SUCCESS,20,None,1,0
UPI0000185,2024-06-30 04:22:00,20240316,8,2,Google Pay,3,14,P2M,257.6492298247441,Mobile,SUCCESS,9,None,1,0
UPI0000186,2024-06-12 03:29:00,20240215,10,10,MobiKwik,20,2,P2M,269.381999055764,Mobile,SUCCESS,14,None,1,0
UPI0000187,2024-03-01 12:00:00,20240127,1,1,PhonePe,46,11,P2P,480.76966112681856,Mobile,SUCCESS,20,None,1,0
UPI0000188,2024-05-19 15:00:00,20240617,2,6,BHIM,17,14,P2M,3883.5362608774417,Mobile,SUCCESS,20,None,1,0
UPI0000189,2024-03-28 02:00:00,20240327,7,2,PhonePe,37,1,P2M,190.71132000160316,Web,SUCCESS,11,None,1,0
UPI0000190,2024-04-20 20:10:00,20240618,9,7,PhonePe,33,4,P2P,504.4219546603836,Mobile,SUCCESS,13,None,1,0
UPI0000191,2024-09-07 07:20:00,20241123,4,4,Google Pay,4,4,P2M,71.96054047269888,Mobile,SUCCESS,21,None,1,0
UPI0000192,2024-08-18 15:03:00,20241101,9,1,PhonePe,43,7,P2M,1076.9355040000535,Web,SUCCESS,23,None,1,0
UPI0000193,2024-08-10 18:09:00,20241001,1,2,BHIM,6,8,P2M,1425.543951036105,Web,SUCCESS,8,None,1,0
UPI0000194,2024-05-12 00:50:00,20240620,8,5,Google Pay,41,13,P2M,118.18738350754198,,SUCCESS,18,None,1,0
UPI0000195,2024-12-17 20:51:00,20240211,10,2,Paytm,6,6,P2M,226.34876801910377,Mobile,SUCCESS,5,None,1,0
UPI0000196,2024-02-02 23:17:00,20240528,5,6,BHIM,37,11,P2M,1576.8061346584302,Mobile,SUCCESS,10,None,1,0
UPI0000197,2024-05-05 23:56:00,20240108,6,9,Google Pay,45,13,P2P,432.76525530456087,Mobile,SUCCESS,15,None,1,0
UPI0000198,2024-02-13 03:07:00,20240215,3,3,Google Pay,50,11,P2M,56.779362049906055,Mobile,SUCCESS,20,None,1,0
